geneid	transid	genename	gene_type	chr	start	end	anno	direction
ENSG00000100038.19		TOP3B	protein_coding	chr22	21957025	21982816	gene	-
ENSG00000197549.9		PRAMENP	transcribed_unprocessed_pseudogene	chr22	21991099	22043934	gene	-
ENSG00000253239.1		IGLVI-70	IG_V_pseudogene	chr22	22026076	22026593	gene	+
ENSG00000211637.2		IGLV4-69	IG_V_gene	chr22	22030934	22031472	gene	+
ENSG00000254355.1		IGLVI-68	IG_V_pseudogene	chr22	22032745	22033194	gene	+
ENSG00000278657.1		LL22NC03-23C6.13	lincRNA	chr22	22036344	22040065	gene	+
ENSG00000249333.1		LL22NC03-23C6.12	unprocessed_pseudogene	chr22	22038643	22039126	gene	+
ENSG00000211642.3		IGLV10-54	IG_V_gene	chr22	22038643	22215270	gene	+
ENSG00000253794.1		IGLV10-67	IG_V_pseudogene	chr22	22043618	22043942	gene	+
ENSG00000228161.1		LL22NC03-23C6.15	unprocessed_pseudogene	chr22	22046430	22046591	gene	+
ENSG00000253874.1		IGLVIV-66-1	IG_V_pseudogene	chr22	22058433	22058892	gene	+
ENSG00000254075.1		IGLVV-66	IG_V_pseudogene	chr22	22061077	22061538	gene	+
ENSG00000254161.1		IGLVIV-65	IG_V_pseudogene	chr22	22070225	22070707	gene	+
ENSG00000253242.1		IGLVIV-64	IG_V_pseudogene	chr22	22075366	22075666	gene	+
ENSG00000253752.1		IGLVI-63	IG_V_pseudogene	chr22	22079770	22080263	gene	+
ENSG00000253823.1		IGLV1-62	IG_V_pseudogene	chr22	22086561	22087110	gene	+
ENSG00000275361.1		LL22NC03-88E1.18	unprocessed_pseudogene	chr22	22087924	22088085	gene	+
ENSG00000211638.2		IGLV8-61	IG_V_gene	chr22	22098700	22099212	gene	+
ENSG00000225741.1		LL22NC03-88E1.17	unprocessed_pseudogene	chr22	22103219	22104857	gene	+
ENSG00000263366.2		ABHD17AP5	processed_pseudogene	chr22	22114844	22118005	gene	-
ENSG00000236118.1		LL22NC03-30E12.10	unprocessed_pseudogene	chr22	22155582	22155942	gene	+
ENSG00000233720.1		LL22NC03-30E12.11	unprocessed_pseudogene	chr22	22157382	22157631	gene	+
ENSG00000211639.2		IGLV4-60	IG_V_gene	chr22	22162199	22162681	gene	+
ENSG00000227710.1		LL22NC03-30E12.13	unprocessed_pseudogene	chr22	22168289	22168634	gene	+
ENSG00000224465.1		SOCS2P2	processed_pseudogene	chr22	22170983	22171556	gene	-
ENSG00000254308.1		IGLVIV-59	IG_V_pseudogene	chr22	22179228	22179477	gene	+
ENSG00000253637.1		IGLVV-58	IG_V_pseudogene	chr22	22182582	22182885	gene	+
ENSG00000236323.1		BMP6P1	processed_pseudogene	chr22	22185941	22186619	gene	+
ENSG00000211640.4		IGLV6-57	IG_V_gene	chr22	22195799	22196276	gene	+
ENSG00000253126.1		IGLVI-56	IG_V_pseudogene	chr22	22198560	22199011	gene	+
ENSG00000211641.3		IGLV11-55	IG_V_gene	chr22	22201663	22202161	gene	+
ENSG00000253935.1		IGLVIV-53	IG_V_pseudogene	chr22	22219647	22220133	gene	+
ENSG00000228050.1		TOP3BP1	processed_pseudogene	chr22	22223187	22224566	gene	-
ENSG00000234726.1		LL22NC03-123E1.5	processed_pseudogene	chr22	22228719	22230469	gene	-
ENSG00000169575.4		VPREB1	protein_coding	chr22	22244675	22245515	gene	+
ENSG00000279278.1		CH17-264L24.1	lincRNA	chr22	22264601	22273020	gene	+
ENSG00000274422.1		LL22NC03-2H8.5	lincRNA	chr22	22283928	22287220	gene	-
ENSG00000234630.1		LL22NC03-2H8.4	lincRNA	chr22	22293733	22294794	gene	+
ENSG00000272779.1		LL22NC03-80A10.6	unprocessed_pseudogene	chr22	22303224	22310401	gene	+
ENSG00000211643.2		IGLV5-52	IG_V_gene	chr22	22318727	22319226	gene	+
ENSG00000211644.3		IGLV1-51	IG_V_gene	chr22	22322472	22322969	gene	+
ENSG00000211645.2		IGLV1-50	IG_V_gene	chr22	22327300	22327814	gene	+
ENSG00000225724.1		ASH2LP3	unprocessed_pseudogene	chr22	22339573	22341214	gene	+
ENSG00000223350.2		IGLV9-49	IG_V_gene	chr22	22343187	22343732	gene	+
ENSG00000232515.1		LL22NC03-75A1.9	unprocessed_pseudogene	chr22	22347807	22348164	gene	+
ENSG00000211647.1		IGLV5-48	IG_V_gene	chr22	22352940	22353433	gene	+
ENSG00000211648.2		IGLV1-47	IG_V_gene	chr22	22357739	22358260	gene	+
ENSG00000237428.1		ASH2LP2	processed_pseudogene	chr22	22366210	22367770	gene	+
ENSG00000211649.3		IGLV7-46	IG_V_gene	chr22	22369614	22370087	gene	+
ENSG00000232603.1		LL22NC03-22A12.12	unprocessed_pseudogene	chr22	22370829	22371120	gene	+
ENSG00000211650.2		IGLV5-45	IG_V_gene	chr22	22375986	22376505	gene	+
ENSG00000211651.3		IGLV1-44	IG_V_gene	chr22	22380766	22381347	gene	+
ENSG00000211652.2		IGLV7-43	IG_V_gene	chr22	22395018	22395489	gene	+
ENSG00000254175.1		IGLVI-42	IG_V_pseudogene	chr22	22397032	22397524	gene	+
ENSG00000254073.1		IGLVVII-41-1	IG_V_pseudogene	chr22	22398849	22398999	gene	+
ENSG00000253818.1		IGLV1-41	IG_V_pseudogene	chr22	22404207	22404721	gene	+
ENSG00000211653.2		IGLV1-40	IG_V_gene	chr22	22409766	22410282	gene	+
ENSG00000224144.1		ASH2LP1	processed_pseudogene	chr22	22420326	22421310	gene	+
ENSG00000253889.1		IGLVI-38	IG_V_pseudogene	chr22	22425821	22426314	gene	+
ENSG00000211654.2		IGLV5-37	IG_V_gene	chr22	22427540	22428035	gene	+
ENSG00000211655.3		IGLV1-36	IG_V_gene	chr22	22431958	22432465	gene	+
ENSG00000230821.1		KB-288A10.17	processed_pseudogene	chr22	22446686	22448336	gene	+
ENSG00000253631.1		IGLV7-35	IG_V_pseudogene	chr22	22450202	22450652	gene	+
ENSG00000226595.1		KB-288A10.19	unprocessed_pseudogene	chr22	22465659	22465986	gene	+
ENSG00000275004.3		ZNF280B	protein_coding	chr22	22484421	22509154	gene	-
ENSG00000169548.3		ZNF280A	protein_coding	chr22	22513736	22520270	gene	-
ENSG00000185686.17		PRAME	protein_coding	chr22	22547701	22559361	gene	-
ENSG00000220891.1		LL22NC03-63E9.3	antisense	chr22	22559343	22566602	gene	+
ENSG00000253120.1		IGLV2-34	IG_V_pseudogene	chr22	22580014	22580296	gene	+
ENSG00000211656.3		IGLV2-33	IG_V_gene	chr22	22588155	22588688	gene	+
ENSG00000211657.3		IGLV3-32	IG_V_gene	chr22	22594528	22595056	gene	+
ENSG00000253920.1		IGLV3-31	IG_V_pseudogene	chr22	22604445	22605165	gene	+
ENSG00000253329.1		IGLV3-30	IG_V_pseudogene	chr22	22618572	22619163	gene	+
ENSG00000215456.6		BCRP4	unprocessed_pseudogene	chr22	22630065	22636153	gene	+
ENSG00000183169.6		POM121L1P	transcribed_unprocessed_pseudogene	chr22	22639177	22644473	gene	-
ENSG00000100121.12		GGTLC2	protein_coding	chr22	22644475	22647903	gene	+
ENSG00000253338.1		IGLV3-29	IG_V_pseudogene	chr22	22661299	22661542	gene	+
ENSG00000253451.1		IGLV2-28	IG_V_pseudogene	chr22	22664473	22664907	gene	+
ENSG00000211658.2		IGLV3-27	IG_V_gene	chr22	22668288	22668806	gene	+
ENSG00000253913.1		IGLV3-26	IG_V_pseudogene	chr22	22673152	22673602	gene	+
ENSG00000253779.1		IGLVVI-25-1	IG_V_pseudogene	chr22	22679097	22679345	gene	+
ENSG00000211659.2		IGLV3-25	IG_V_gene	chr22	22686726	22687271	gene	+
ENSG00000232350.1		LL22NC03-102D1.16	unprocessed_pseudogene	chr22	22689831	22689978	gene	+
ENSG00000223999.1		LL22NC03-102D1.18	lincRNA	chr22	22692778	22693312	gene	-
ENSG00000253822.1		IGLV3-24	IG_V_pseudogene	chr22	22694439	22694952	gene	+
ENSG00000211660.3		IGLV2-23	IG_V_gene	chr22	22697789	22698407	gene	+
ENSG00000253546.1		IGLVVI-22-1	IG_V_pseudogene	chr22	22700760	22700970	gene	+
ENSG00000211661.2		IGLV3-22	IG_V_gene	chr22	22704265	22704822	gene	+
ENSG00000211662.2		IGLV3-21	IG_V_gene	chr22	22711689	22713203	gene	+
ENSG00000254240.1		IGLVI-20	IG_V_pseudogene	chr22	22715290	22715419	gene	+
ENSG00000211663.2		IGLV3-19	IG_V_gene	chr22	22720623	22721145	gene	+
ENSG00000278667.1		LL22NC03-48A11.14	processed_pseudogene	chr22	22730725	22731090	gene	-
ENSG00000211664.2		IGLV2-18	IG_V_gene	chr22	22734607	22735096	gene	+
ENSG00000253152.1		IGLV3-17	IG_V_pseudogene	chr22	22738944	22739187	gene	+
ENSG00000211665.2		IGLV3-16	IG_V_gene	chr22	22747383	22747911	gene	+
ENSG00000253786.1		IGLV3-15	IG_V_pseudogene	chr22	22755554	22755797	gene	+
ENSG00000211666.2		IGLV2-14	IG_V_gene	chr22	22758700	22759218	gene	+
ENSG00000253590.1		IGLV3-13	IG_V_pseudogene	chr22	22762294	22762516	gene	+
ENSG00000211667.2		IGLV3-12	IG_V_gene	chr22	22771824	22772586	gene	+
ENSG00000231392.1		LL22NC03-24A12.8	unprocessed_pseudogene	chr22	22774529	22774691	gene	+
ENSG00000275772.1		LL22NC03-24A12.9	processed_pseudogene	chr22	22785643	22787268	gene	-
ENSG00000211668.2		IGLV2-11	IG_V_gene	chr22	22792491	22793007	gene	+
ENSG00000274381.1		LL22NC03-84E4.13	unprocessed_pseudogene	chr22	22803076	22803360	gene	+
ENSG00000211669.2		IGLV3-10	IG_V_gene	chr22	22811747	22812285	gene	+
ENSG00000226477.1		LL22NC03-84E4.11	unprocessed_pseudogene	chr22	22814671	22814926	gene	+
ENSG00000211670.2		IGLV3-9	IG_V_gene	chr22	22819010	22819756	gene	+
ENSG00000278196.3		IGLV2-8	IG_V_gene	chr22	22822658	22823289	gene	+
ENSG00000284049.1		MIR650	miRNA	chr22	22822776	22822871	gene	+
ENSG00000237127.1		LL22NC03-84E4.8	unprocessed_pseudogene	chr22	22834865	22835117	gene	+
ENSG00000254077.1		IGLV3-7	IG_V_pseudogene	chr22	22838602	22838872	gene	+
ENSG00000253448.1		IGLV3-6	IG_V_pseudogene	chr22	22850375	22850624	gene	+
ENSG00000253234.1		IGLV2-5	IG_V_pseudogene	chr22	22856762	22857038	gene	+
ENSG00000226420.1		IGLV3-4	IG_V_pseudogene	chr22	22858025	22858268	gene	+
ENSG00000211672.2		IGLV4-3	IG_V_gene	chr22	22871507	22872035	gene	+
ENSG00000253963.1		IGLV3-2	IG_V_pseudogene	chr22	22873212	22873440	gene	+
ENSG00000211673.2		IGLV3-1	IG_V_gene	chr22	22880706	22881396	gene	+
ENSG00000264824.1		MIR5571	miRNA	chr22	22886267	22886379	gene	+
ENSG00000254709.7		IGLL5	protein_coding	chr22	22887780	22896107	gene	+
ENSG00000211674.2		IGLJ1	IG_J_gene	chr22	22893692	22893818	gene	+
ENSG00000211675.2		IGLC1	IG_C_gene	chr22	22895375	22895834	gene	+
ENSG00000211676.2		IGLJ2	IG_J_gene	chr22	22899481	22899655	gene	+
ENSG00000211677.2		IGLC2	IG_C_gene	chr22	22900976	22901437	gene	+
ENSG00000211678.2		IGLJ3	IG_J_gene	chr22	22904850	22905025	gene	+
ENSG00000211679.2		IGLC3	IG_C_gene	chr22	22906342	22906803	gene	+
ENSG00000211680.2		IGLJ4	IG_J_gene	chr22	22910574	22910606	gene	+
ENSG00000254029.1		IGLC4	IG_C_pseudogene	chr22	22910828	22911075	gene	+
ENSG00000211681.2		IGLJ5	IG_J_gene	chr22	22914237	22914308	gene	+
ENSG00000254030.1		IGLC5	IG_C_pseudogene	chr22	22915635	22915927	gene	+
ENSG00000211682.2		IGLJ6	IG_J_gene	chr22	22918132	22918201	gene	+
ENSG00000222037.5		IGLC6	IG_C_pseudogene	chr22	22919535	22919851	gene	+
ENSG00000211684.2		IGLJ7	IG_J_gene	chr22	22921390	22921435	gene	+
ENSG00000211685.3		IGLC7	IG_C_gene	chr22	22922594	22923034	gene	+
ENSG00000237472.1		AP000361.2	processed_pseudogene	chr22	22988263	22988581	gene	+
ENSG00000223679.1		AP000362.1	unprocessed_pseudogene	chr22	22990690	23008356	gene	+
ENSG00000100218.11		RSPH14	protein_coding	chr22	23059415	23145021	gene	-
ENSG00000128266.8		GNAZ	protein_coding	chr22	23070361	23125037	gene	+
ENSG00000283438.1		Metazoa_SRP	misc_RNA	chr22	23132730	23133005	gene	-
ENSG00000275635.1		U7	snRNA	chr22	23137805	23137864	gene	-
ENSG00000100228.12		RAB36	protein_coding	chr22	23145326	23164350	gene	+
ENSG00000186716.20		BCR	protein_coding	chr22	23179704	23318037	gene	+
ENSG00000236794.5		BCRP8	processed_pseudogene	chr22	23179918	23180172	gene	-
ENSG00000240160.3		RN7SL263P	misc_RNA	chr22	23261782	23262071	gene	-
ENSG00000230701.2		FBXW4P1	processed_pseudogene	chr22	23262767	23265005	gene	+
ENSG00000214526.3		AP000343.1	processed_pseudogene	chr22	23322543	23322927	gene	-
ENSG00000236611.1		AP000343.2	lincRNA	chr22	23326616	23328493	gene	+
ENSG00000215478.8		CES5AP1	transcribed_unprocessed_pseudogene	chr22	23359603	23387731	gene	-
ENSG00000133519.12		ZDHHC8P1	transcribed_unprocessed_pseudogene	chr22	23390606	23402726	gene	-
ENSG00000248409.1		KB-1269D1.8	unprocessed_pseudogene	chr22	23392771	23393839	gene	+
ENSG00000234928.1		LINC01659	lincRNA	chr22	23433564	23435071	gene	+
ENSG00000227755.1		AP000344.4	transcribed_processed_pseudogene	chr22	23446598	23460833	gene	+
ENSG00000178248.11		LINC01658	lincRNA	chr22	23462086	23486980	gene	-
ENSG00000225413.2		AP000345.4	lincRNA	chr22	23512494	23513602	gene	-
ENSG00000280623.1		PCAT14	lincRNA	chr22	23536881	23547797	gene	+
ENSG00000224277.5		AP000345.2	antisense	chr22	23567064	23573507	gene	+
ENSG00000128322.6		IGLL1	protein_coding	chr22	23573125	23580308	gene	-
ENSG00000272733.1		KB-208E9.1	lincRNA	chr22	23580880	23583859	gene	-
ENSG00000278655.1		KB-1572G7.5	unprocessed_pseudogene	chr22	23607041	23608407	gene	+
ENSG00000189269.12		DRICH1	protein_coding	chr22	23608452	23632321	gene	-
ENSG00000275609.1		KB-1572G7.4	processed_pseudogene	chr22	23610329	23610538	gene	+
ENSG00000211683.3		KB-1572G7.3	processed_transcript	chr22	23630618	23638941	gene	-
ENSG00000228315.11		GUSBP11	processed_transcript	chr22	23638487	23717356	gene	-
ENSG00000234353.2		AP000347.4	transcribed_unprocessed_pseudogene	chr22	23638492	23640762	gene	-
ENSG00000244723.3		ASLP1	unprocessed_pseudogene	chr22	23649213	23653334	gene	-
ENSG00000273000.5		KB-1572G7.2	processed_transcript	chr22	23652860	23717347	gene	-
ENSG00000272578.5		AP000347.2	transcribed_unprocessed_pseudogene	chr22	23658094	23717356	gene	-
ENSG00000159496.14		RGL4	protein_coding	chr22	23688136	23699176	gene	+
ENSG00000187792.4		ZNF70	protein_coding	chr22	23738678	23751092	gene	-
ENSG00000128218.7		VPREB3	protein_coding	chr22	23752743	23754468	gene	-
ENSG00000169314.14		C22orf15	protein_coding	chr22	23763021	23765861	gene	+
ENSG00000250479.8		CHCHD10	protein_coding	chr22	23765834	23768443	gene	-
ENSG00000099953.9		MMP11	protein_coding	chr22	23768226	23784316	gene	+
ENSG00000099956.18		SMARCB1	protein_coding	chr22	23786963	23834516	gene	+
ENSG00000099958.14		DERL3	protein_coding	chr22	23834503	23839128	gene	-
ENSG00000272973.1		KB-1125A3.11	antisense	chr22	23856427	23857039	gene	-
ENSG00000133460.19		SLC2A11	protein_coding	chr22	23856703	23886309	gene	+
ENSG00000251357.4		AP000350.10	protein_coding	chr22	23862188	23895223	gene	+
ENSG00000279467.1		KB-1125A3.12	antisense	chr22	23865248	23873277	gene	-
ENSG00000244425.3		RN7SL268P	misc_RNA	chr22	23879493	23879790	gene	-
ENSG00000240972.1		MIF	protein_coding	chr22	23894004	23895227	gene	+
ENSG00000218537.1		MIF-AS1	antisense	chr22	23894426	23898930	gene	-
ENSG00000273295.1		AP000350.5	lincRNA	chr22	23901432	23907068	gene	-
ENSG00000225282.1		AP000350.6	processed_pseudogene	chr22	23926900	23929574	gene	+
ENSG00000206090.4		AP000350.7	unprocessed_pseudogene	chr22	23939998	23942798	gene	+
ENSG00000231271.1		AP000350.8	unprocessed_pseudogene	chr22	23949918	23954042	gene	+
ENSG00000133433.10		GSTT2B	protein_coding	chr22	23957414	23961186	gene	-
ENSG00000228039.3		KB-1125A3.10	processed_pseudogene	chr22	23963780	23964374	gene	+
ENSG00000099974.7		DDTL	protein_coding	chr22	23966901	23972532	gene	+
ENSG00000272787.1		KB-226F1.2	lincRNA	chr22	23969211	23969873	gene	+
ENSG00000099977.13		DDT	protein_coding	chr22	23971365	23980469	gene	-
ENSG00000250470.1		AP000351.3	unprocessed_pseudogene	chr22	23976904	23977585	gene	-
ENSG00000099984.11		GSTT2	polymorphic_pseudogene	chr22	23980058	23983915	gene	+
ENSG00000224205.1		AP000351.4	unprocessed_pseudogene	chr22	23987320	23991421	gene	-
ENSG00000276950.5		GSTTP1	protein_coding	chr22	23998401	24005453	gene	-
ENSG00000235689.1		AP000351.13	unprocessed_pseudogene	chr22	24006305	24008258	gene	-
ENSG00000099991.17		CABIN1	protein_coding	chr22	24011192	24178628	gene	+
ENSG00000232545.1		KB-318B8.7	sense_intronic	chr22	24101689	24103354	gene	+
ENSG00000099994.10		SUSD2	protein_coding	chr22	24181259	24189110	gene	+
ENSG00000099998.17		GGT5	protein_coding	chr22	24219654	24245142	gene	-
ENSG00000230712.2		GGTLC4P	unprocessed_pseudogene	chr22	24248074	24249466	gene	-
ENSG00000128262.8		POM121L9P	transcribed_unprocessed_pseudogene	chr22	24251828	24265525	gene	+
ENSG00000225098.1		BCRP1	unprocessed_pseudogene	chr22	24259929	24263764	gene	-
ENSG00000215464.4		AP000354.2	processed_pseudogene	chr22	24269346	24270134	gene	-
ENSG00000100014.19		SPECC1L	protein_coding	chr22	24270817	24417740	gene	+
ENSG00000258555.6		SPECC1L-ADORA2A	protein_coding	chr22	24270898	24442356	gene	+
ENSG00000128271.21		ADORA2A	protein_coding	chr22	24417879	24442360	gene	+
ENSG00000178803.10		ADORA2A-AS1	antisense	chr22	24429206	24495074	gene	-
ENSG00000100024.14		UPB1	protein_coding	chr22	24494107	24528390	gene	+
ENSG00000228923.1		AP000355.2	antisense	chr22	24516508	24518386	gene	+
ENSG00000138867.16		GUCD1	protein_coding	chr22	24540423	24555935	gene	-
ENSG00000100028.11		SNRPD3	protein_coding	chr22	24555503	24609980	gene	+
ENSG00000100031.18		GGT1	protein_coding	chr22	24583750	24629005	gene	+
ENSG00000178026.12		LRRC75B	protein_coding	chr22	24585620	24593208	gene	-
ENSG00000230947.2		AP000356.2	sense_intronic	chr22	24598054	24599398	gene	+
ENSG00000215481.9		BCRP3	processed_transcript	chr22	24632915	24650012	gene	+
ENSG00000284233.1		KB-1995A5.4	transcribed_unprocessed_pseudogene	chr22	24633272	24633443	gene	+
ENSG00000284128.1		BCRP3	transcribed_unprocessed_pseudogene	chr22	24644791	24653356	gene	+
ENSG00000284070.1		KB-1995A5.5	antisense	chr22	24645171	24651657	gene	-
ENSG00000224124.3		POM121L10P	processed_pseudogene	chr22	24657481	24658765	gene	-
ENSG00000224806.2		ARL5AP4	processed_pseudogene	chr22	24686168	24686679	gene	+
ENSG00000224334.1		AP000357.4	processed_pseudogene	chr22	24686923	24688087	gene	+
ENSG00000282012.1		LL22NC03-N95F10.1	lincRNA	chr22	24691122	24696003	gene	-
ENSG00000237601.1		AP000358.5	processed_pseudogene	chr22	24703348	24703503	gene	+
ENSG00000182351.7		CRIP1P4	processed_pseudogene	chr22	24712292	24712520	gene	+
ENSG00000184571.13		PIWIL3	protein_coding	chr22	24719034	24774720	gene	-
ENSG00000167037.18		SGSM1	protein_coding	chr22	24806169	24927578	gene	+
ENSG00000199783.1		SNORD56	snoRNA	chr22	24901147	24901214	gene	-
ENSG00000206069.6		TMEM211	protein_coding	chr22	24934954	24946695	gene	-
ENSG00000197077.13		KIAA1671	protein_coding	chr22	24952730	25197448	gene	+
ENSG00000279085.1		CTA-243E7.4	antisense	chr22	25009685	25015072	gene	-
ENSG00000279548.1		CTA-243E7.3	antisense	chr22	25022594	25024652	gene	-
ENSG00000279006.1		CTA-243E7.2	antisense	chr22	25048967	25051966	gene	-
ENSG00000279110.1		CTA-243E7.1	antisense	chr22	25052122	25065241	gene	-
ENSG00000203280.4		CTA-221G9.12	antisense	chr22	25102433	25112692	gene	-
ENSG00000271181.1		CTA-221G9.10	processed_pseudogene	chr22	25179309	25179554	gene	-
ENSG00000100053.9		CRYBB3	protein_coding	chr22	25199850	25207363	gene	+
ENSG00000236641.1		CTA-221G9.7	lincRNA	chr22	25212742	25213685	gene	+
ENSG00000244752.2		CRYBB2	protein_coding	chr22	25219522	25231869	gene	+
ENSG00000279298.1		CTA-221G9.11	lincRNA	chr22	25251523	25252602	gene	-
ENSG00000233577.6		RP3-462D8.2	lincRNA	chr22	25279529	25282674	gene	-
ENSG00000206066.3		IGLL3P	unprocessed_pseudogene	chr22	25318256	25320080	gene	+
ENSG00000230637.2		CTA-246H3.8	unprocessed_pseudogene	chr22	25327252	25339975	gene	+
ENSG00000231466.2		CTA-246H3.11	processed_pseudogene	chr22	25349543	25350322	gene	-
ENSG00000100068.11		LRP5L	protein_coding	chr22	25351418	25405377	gene	-
ENSG00000272942.1		CTA-246H3.12	lincRNA	chr22	25434324	25435070	gene	-
ENSG00000272798.1		CTA-390C10.9	lincRNA	chr22	25436312	25436915	gene	+
ENSG00000271138.1		IGLVIVOR22-1	IG_V_pseudogene	chr22	25437306	25437823	gene	-
ENSG00000100058.12		CRYBB2P1	transcribed_unprocessed_pseudogene	chr22	25448105	25520854	gene	+
ENSG00000277872.1		MIR6817	miRNA	chr22	25455646	25455711	gene	+
ENSG00000272977.1		CTA-390C10.10	sense_intronic	chr22	25476218	25479971	gene	+
ENSG00000234884.1		CTA-407F11.8	antisense	chr22	25561117	25564462	gene	-
ENSG00000100077.14		GRK3	protein_coding	chr22	25564849	25729294	gene	+
ENSG00000237387.1		CTA-407F11.7	antisense	chr22	25580241	25581382	gene	-
ENSG00000224003.1		YES1P1	processed_pseudogene	chr22	25647261	25649232	gene	+
ENSG00000222585.1		RNA5SP494	rRNA	chr22	25715041	25715169	gene	-
ENSG00000133454.15		MYO18B	protein_coding	chr22	25742144	26031041	gene	+
ENSG00000278960.1		CTA-407F11.9	antisense	chr22	25756318	25756669	gene	-
ENSG00000231933.7		CTA-125H2.2	antisense	chr22	25876854	25903247	gene	-
ENSG00000232464.1		CTA-125H2.1	antisense	chr22	25959074	25983526	gene	-
ENSG00000223056.1		RN7SKP169	misc_RNA	chr22	25963983	25964273	gene	-
ENSG00000232050.1		CTA-125H2.3	processed_pseudogene	chr22	26006389	26006532	gene	-
ENSG00000236464.1		CTA-796E4.3	lincRNA	chr22	26161834	26164303	gene	+
ENSG00000229770.1		CTA-796E4.4	antisense	chr22	26161910	26163214	gene	-
ENSG00000100095.18		SEZ6L	protein_coding	chr22	26169474	26383597	gene	+
ENSG00000224192.2		RP11-259P1.1	antisense	chr22	26241331	26254092	gene	-
ENSG00000252267.1		RNA5SP495	rRNA	chr22	26390667	26390776	gene	-
ENSG00000230203.1		CTB-1048E9.7	processed_pseudogene	chr22	26422071	26423193	gene	-
ENSG00000128203.6		ASPHD2	protein_coding	chr22	26429273	26445015	gene	+
ENSG00000100099.20		HPS4	protein_coding	chr22	26443423	26483837	gene	-
ENSG00000100104.13		SRRD	protein_coding	chr22	26483877	26494658	gene	+
ENSG00000100109.16		TFIP11	protein_coding	chr22	26491225	26512505	gene	-
ENSG00000261188.1		CTA-445C9.14	antisense	chr22	26512537	26514568	gene	+
ENSG00000128294.15		TPST2	protein_coding	chr22	26521983	26596717	gene	-
ENSG00000221760.1		MIR548J	miRNA	chr22	26555212	26555323	gene	-
ENSG00000213707.2		HMGB1P10	processed_pseudogene	chr22	26560526	26561088	gene	+
ENSG00000100122.5		CRYBB1	protein_coding	chr22	26599278	26618088	gene	-
ENSG00000196431.3		CRYBA4	protein_coding	chr22	26621964	26630672	gene	+
ENSG00000226912.1		ISCA2P1	processed_pseudogene	chr22	26644889	26645336	gene	-
ENSG00000225783.6		MIAT	lincRNA	chr22	26646428	26676475	gene	+
ENSG00000278404.1		MIAT_exon1	misc_RNA	chr22	26657521	26657655	gene	+
ENSG00000206028.1		CTA-373H7.7	lincRNA	chr22	26667693	26672654	gene	-
ENSG00000277941.1		MIAT_exon5_1	misc_RNA	chr22	26671402	26671550	gene	+
ENSG00000275942.1		MIAT_exon5_2	misc_RNA	chr22	26672164	26672248	gene	+
ENSG00000244625.5		MIATNB	lincRNA	chr22	26672767	26780207	gene	+
ENSG00000276991.1		MIAT_exon5_3	misc_RNA	chr22	26673254	26673630	gene	+
ENSG00000223704.1		LINC01422	lincRNA	chr22	26858634	26865786	gene	+
ENSG00000231369.1		RP1-40G4P.1	processed_pseudogene	chr22	26886909	26887548	gene	-
ENSG00000235271.5		LINC01422	lincRNA	chr22	26903292	26920611	gene	+
ENSG00000279440.1		CTA-992D9.11	lincRNA	chr22	27019369	27024550	gene	+
ENSG00000200443.1		RNU6-1066P	snRNA	chr22	27035887	27035991	gene	+
ENSG00000279914.1		CTA-992D9.10	lincRNA	chr22	27040197	27041494	gene	+
ENSG00000279848.1		CTA-992D9.9	lincRNA	chr22	27044001	27045315	gene	+
ENSG00000236858.1		CTA-992D9.6	lincRNA	chr22	27048144	27060518	gene	-
ENSG00000280025.1		CTA-992D9.8	lincRNA	chr22	27102766	27107019	gene	+
ENSG00000231405.1		CTA-992D9.7	lincRNA	chr22	27143478	27159878	gene	+
ENSG00000238195.1		CTA-503F6.2	lincRNA	chr22	27204211	27205126	gene	+
ENSG00000233521.5		LINC01638	lincRNA	chr22	27221349	27224727	gene	-
ENSG00000233574.1		CTA-929C8.5	lincRNA	chr22	27276240	27286349	gene	+
ENSG00000223726.1		CTA-929C8.7	lincRNA	chr22	27307483	27318538	gene	-
ENSG00000226741.1		CTA-929C8.6	lincRNA	chr22	27310651	27317456	gene	+
ENSG00000230051.1		CTA-929C8.8	lincRNA	chr22	27331787	27379265	gene	+
ENSG00000280445.1		RP1-205F14P.1	lincRNA	chr22	27414462	27419713	gene	-
ENSG00000227880.1		RP11-46E17.6	lincRNA	chr22	27457247	27460060	gene	-
ENSG00000224027.1		RP1-231P7P.1	lincRNA	chr22	27563839	27573573	gene	-
ENSG00000227838.1		RP1-213J1P__B.1	lincRNA	chr22	27676559	27714970	gene	-
ENSG00000231495.1		RP1-213J1P__B.2	lincRNA	chr22	27707580	27709931	gene	+
ENSG00000226169.1		RP11-375H17.1	antisense	chr22	27716480	27721677	gene	+
ENSG00000169184.5		MN1	protein_coding	chr22	27748277	27801498	gene	-
ENSG00000180957.17		PITPNB	protein_coding	chr22	27851669	27920134	gene	-
ENSG00000235954.6		TTC28-AS1	processed_transcript	chr22	27919376	28008581	gene	+
ENSG00000277460.1		TTC28-AS1_1	misc_RNA	chr22	27919384	27919545	gene	+
ENSG00000264073.1		MIR3199-1	miRNA	chr22	27920525	27920612	gene	-
ENSG00000283225.1		MIR3199-2	miRNA	chr22	27920526	27920611	gene	+
ENSG00000276150.1		TTC28-AS1_2	misc_RNA	chr22	27922022	27922178	gene	+
ENSG00000100154.14		TTC28	protein_coding	chr22	27978014	28679865	gene	-
